,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
6190,F,4,6,6,4,5,11,6,1,5,9,5,6,5,9,4,7
561,J,3,10,4,7,3,11,5,2,6,11,2,7,0,7,1,7
7543,T,7,13,6,7,4,9,7,2,7,10,5,8,3,8,5,8
11228,Y,7,11,7,8,5,5,8,0,8,9,9,5,4,10,7,4
17132,I,1,5,2,4,1,7,7,0,7,13,6,8,0,8,1,7
13805,F,3,6,5,4,3,5,10,2,6,10,9,6,4,10,3,6
4904,C,2,5,3,4,2,6,8,7,7,9,8,13,1,9,4,10
16557,F,3,4,5,3,2,6,10,2,6,13,6,4,1,10,3,7
1624,Z,4,5,5,8,2,7,7,4,14,9,6,8,0,8,8,8
19843,M,3,3,4,2,2,8,6,6,3,6,7,8,6,6,1,7
4965,X,3,3,4,4,1,7,7,4,4,7,6,8,3,8,4,8
10009,K,3,2,4,4,3,5,7,4,7,6,6,10,3,8,5,9
65,L,2,3,2,4,1,0,1,5,6,0,0,6,0,8,0,8
5918,S,2,3,2,1,1,8,7,6,4,8,6,8,2,8,8,8
9403,M,4,7,5,5,3,7,7,12,1,7,9,8,8,6,0,8
245,J,5,6,7,7,6,7,8,4,5,7,7,8,4,6,8,6
5450,M,4,5,6,4,6,6,8,5,3,6,5,8,9,7,4,8
6442,C,8,11,8,8,4,3,9,6,8,12,11,11,1,8,3,6
13230,P,4,8,5,6,4,7,10,4,4,12,5,3,1,10,2,8
9405,O,4,11,5,8,5,8,7,8,4,7,7,7,3,7,3,8
13640,E,2,6,4,4,3,7,8,6,8,6,5,9,2,8,6,9
16374,Z,4,6,5,4,3,8,6,2,10,12,5,10,1,9,6,9
8787,N,1,3,2,2,1,7,8,5,4,7,6,6,4,9,1,5
10492,B,2,6,4,4,5,8,8,4,2,6,7,7,6,11,7,7
16144,R,2,4,4,3,2,9,7,3,5,10,4,6,2,7,3,9
13300,Q,4,7,6,10,8,8,11,4,2,5,8,11,5,14,8,13
1361,T,6,13,5,7,2,6,9,3,7,13,6,6,2,8,4,4
16792,H,5,10,8,8,7,8,6,7,7,7,7,5,3,8,4,6
766,K,9,13,9,7,4,4,9,3,7,10,9,11,5,7,3,6
407,Z,2,5,4,4,2,7,8,2,10,11,6,8,1,8,6,7
5582,U,4,7,6,5,5,9,6,7,5,7,7,8,5,8,4,6
15085,J,3,8,4,6,3,9,6,2,6,12,3,8,1,6,2,6
929,M,6,10,7,8,4,8,7,13,2,6,9,8,9,6,0,8
1552,H,5,10,5,8,5,8,7,13,1,7,7,8,3,8,0,8
14844,W,5,9,7,7,7,8,5,7,2,6,7,8,7,7,5,3
13117,M,5,8,6,6,5,8,5,11,0,7,9,8,9,6,2,7
275,D,2,4,4,2,2,9,6,4,6,11,4,6,2,8,3,8
11758,R,4,9,6,7,6,8,7,7,3,8,5,7,4,7,7,10
6427,B,5,9,5,4,4,9,7,3,5,9,5,7,6,6,7,9
4207,Y,7,11,6,6,3,5,9,4,3,11,10,6,4,10,3,3
2417,X,5,5,6,8,2,7,7,5,4,7,6,8,3,8,4,8
14375,J,4,7,5,5,3,7,5,5,4,14,8,13,1,6,1,6
5358,T,4,10,6,7,7,7,8,5,5,6,7,9,6,8,8,6
9117,X,3,5,4,4,2,7,7,3,9,6,6,8,2,8,6,8
10849,Q,2,2,3,3,2,8,6,6,3,6,6,9,2,9,4,9
15156,V,4,8,6,6,7,7,7,4,1,8,7,9,7,10,4,7
2664,W,11,14,12,8,7,8,9,3,4,6,9,6,11,8,2,6
1178,E,4,7,6,5,4,5,8,5,8,12,10,9,3,8,5,5
7991,J,2,6,2,4,1,9,7,0,8,11,5,6,0,7,1,7
7073,Z,2,4,4,3,2,7,7,2,9,11,6,9,1,9,6,7
19317,S,2,1,2,2,1,8,7,6,5,7,7,8,2,9,8,8
19770,H,1,0,1,0,0,7,8,10,1,7,5,8,2,8,0,8
12132,P,4,8,6,12,11,8,8,5,0,8,7,7,6,10,5,8
8235,Q,2,1,3,2,1,8,6,7,5,6,6,8,3,8,4,8
752,Y,2,7,4,5,2,8,10,1,6,5,11,8,1,11,1,8
16749,M,14,15,14,8,7,6,10,5,5,4,4,11,11,13,2,8
15445,D,4,10,6,8,5,7,7,9,7,7,6,5,3,8,4,8
1869,H,3,7,3,4,2,7,6,14,1,7,7,8,3,8,0,8
8596,Z,5,8,7,6,5,9,8,6,4,7,5,8,3,8,10,7
12385,E,5,9,5,6,3,3,8,6,11,7,6,14,0,8,8,7
12519,Q,7,10,9,8,8,8,3,8,4,6,6,8,4,8,6,9
12059,J,2,7,2,5,1,13,2,7,5,14,2,11,0,7,0,8
13210,X,5,7,7,6,7,9,7,2,4,7,6,6,3,10,7,8
13204,N,9,13,7,7,3,5,9,4,6,3,4,11,6,10,2,7
12407,B,3,6,5,4,5,9,7,4,3,6,7,7,5,10,7,7
13097,O,5,9,6,7,4,7,7,9,5,7,7,8,3,8,3,8
5897,R,3,8,4,5,2,6,10,9,4,7,4,8,3,7,5,11
17108,W,2,0,2,0,1,7,8,4,0,7,8,8,6,9,0,8
7016,X,4,7,7,5,4,9,7,1,8,10,3,7,3,8,3,9
13840,D,2,3,4,2,2,9,7,4,6,10,4,6,2,8,3,8
461,J,2,10,3,8,1,14,3,7,5,14,1,10,0,7,0,8
9345,A,4,9,6,7,4,8,2,2,3,7,1,8,2,7,3,6
4408,O,4,8,5,6,4,7,7,7,4,10,6,8,3,8,3,8
6705,M,8,10,8,5,4,7,10,5,6,4,5,10,9,8,2,8
15972,Z,5,8,7,10,6,11,5,3,5,9,2,7,2,7,6,9
13962,N,5,7,8,5,4,11,7,3,5,11,0,4,5,9,1,7
5714,D,7,15,7,9,5,9,6,5,6,12,3,7,5,7,6,10
2789,G,4,8,5,6,3,6,6,7,6,10,7,12,2,9,4,9
13291,T,2,5,3,4,2,7,12,3,6,7,11,8,2,11,1,8
15832,F,4,8,4,5,1,1,11,5,7,11,11,9,0,8,2,6
11099,S,4,9,6,7,8,7,6,3,2,7,5,7,3,7,12,2
18278,I,1,10,0,7,0,7,7,4,4,7,6,8,0,8,0,8
19549,D,1,1,2,1,1,6,7,8,6,6,6,6,2,8,3,8
2960,G,2,1,4,2,2,7,7,5,5,7,6,9,3,7,4,9
3179,E,6,9,8,7,7,8,5,7,3,8,6,11,5,8,8,10
13519,E,4,10,5,8,7,7,8,3,6,5,7,10,5,10,10,11
3361,P,3,9,4,7,3,5,11,9,2,10,6,4,1,10,3,7
10452,K,3,1,4,1,2,6,7,4,7,7,6,11,2,8,4,10
17529,M,3,2,4,3,4,8,6,6,4,7,7,8,7,6,2,7
19139,B,5,8,6,6,6,8,8,7,6,7,6,5,3,7,7,9
15213,H,4,9,4,7,4,7,8,13,1,7,5,8,3,8,0,8
2546,L,5,10,5,5,3,8,5,3,5,12,7,11,2,9,6,9
1928,M,4,2,5,4,4,8,6,6,4,7,7,8,7,5,2,7
11883,R,2,4,4,3,2,9,7,3,5,10,4,7,2,7,3,10
12883,Y,2,3,2,2,1,3,11,3,5,11,10,5,1,11,1,6
7107,M,3,4,6,3,3,5,6,4,4,10,10,11,8,7,3,8
8397,D,8,12,8,6,5,7,5,4,7,8,4,6,5,7,6,9
1983,B,5,10,5,5,5,7,8,3,5,9,6,7,6,5,7,8
7884,I,2,5,0,7,0,7,7,4,4,7,6,8,0,8,0,8
9613,Y,5,9,5,4,2,5,8,3,3,10,9,6,4,9,3,4
9803,F,5,10,7,8,5,6,11,1,6,13,7,5,1,10,2,7
12174,S,5,8,6,6,3,7,7,4,8,11,5,8,2,8,5,8
5717,P,2,7,4,5,2,5,11,3,6,11,9,5,0,9,3,6
15872,U,3,6,4,4,1,7,5,13,5,7,13,8,3,9,0,8
6629,P,3,7,3,4,2,4,11,9,3,9,6,4,1,10,3,8
8453,V,6,8,5,6,3,4,11,3,4,9,11,7,2,10,1,8
13107,G,5,10,6,7,8,8,8,5,2,6,6,8,7,8,7,13
3884,I,6,12,4,7,3,11,3,4,5,12,2,8,3,8,4,10
8784,Y,3,5,4,4,2,4,10,2,7,11,10,6,1,11,2,5
12787,M,4,2,5,4,4,9,6,6,4,6,7,6,8,6,2,6
8220,C,3,6,4,5,4,5,6,3,5,7,6,11,4,10,6,9
13705,K,2,3,3,2,2,6,7,1,6,10,7,10,3,8,1,8
1561,D,1,1,2,2,1,6,7,8,6,6,6,6,2,8,3,8
11420,U,10,11,10,8,4,3,9,6,9,12,12,9,3,9,1,7
2971,U,5,7,6,5,4,5,7,5,7,9,7,9,3,9,3,6
10431,T,6,11,6,8,4,5,12,2,8,12,9,4,1,11,2,4
949,B,2,6,3,4,3,6,7,7,5,7,6,7,2,8,6,9
1432,H,2,3,4,2,2,6,8,2,5,10,7,8,3,8,2,7
3952,Z,4,7,4,5,3,7,7,6,11,6,6,8,1,8,8,8
15645,J,2,3,2,4,1,10,3,10,3,12,8,13,1,6,0,8
12934,C,5,10,6,8,3,5,8,6,8,12,9,12,2,9,3,7
11348,M,5,10,7,8,7,8,6,5,5,6,8,7,8,6,2,7
15591,Y,5,10,8,8,4,10,11,2,8,3,11,8,1,11,2,9
2682,D,2,1,3,3,2,7,7,6,6,7,6,5,2,8,2,7
5222,H,6,9,6,4,3,8,8,4,4,8,6,6,6,10,4,8
15029,E,4,9,4,6,3,3,7,6,11,7,6,15,0,8,7,7
11833,E,3,7,5,5,3,9,6,2,7,11,5,8,2,9,5,11
9105,B,4,9,4,4,4,8,7,3,4,9,6,8,5,7,6,8
17070,M,3,3,4,2,2,9,6,7,3,6,7,6,6,6,1,5
5612,L,4,10,5,7,4,4,4,3,8,2,1,7,0,6,1,6
10181,V,5,8,5,6,2,2,11,6,4,13,12,8,2,10,1,7
8119,B,4,9,4,7,6,7,9,8,6,7,5,7,2,7,7,10
9300,U,4,9,6,8,6,7,7,5,4,6,7,8,6,8,1,7
402,B,11,15,10,8,9,9,8,3,6,10,4,6,8,3,9,7
15511,I,4,9,4,4,2,7,10,2,5,13,5,4,1,8,5,8
11275,P,5,11,6,8,6,4,12,8,2,10,7,4,1,10,3,8
14205,Z,3,6,4,4,2,8,7,2,9,11,5,8,2,8,6,8
5275,L,4,10,6,7,7,6,7,3,6,7,7,11,5,11,6,5
14725,I,4,7,5,8,5,8,9,4,4,7,7,9,4,7,7,6
1259,I,1,3,2,2,0,7,8,1,6,13,6,7,0,8,0,7
19435,O,4,8,5,6,3,8,7,8,4,7,6,6,3,8,3,7
11744,D,3,7,5,5,7,9,9,4,4,7,6,5,4,9,8,6
6073,E,3,6,4,4,3,6,7,6,8,6,4,9,3,8,6,9
12175,Z,4,7,5,5,3,7,7,2,9,11,6,7,2,8,6,7
16571,I,7,14,6,8,4,10,6,4,6,14,3,6,2,8,6,10
1391,P,8,11,7,6,4,8,9,4,4,12,4,4,4,10,5,7
15594,F,3,9,4,7,4,5,10,3,5,10,9,6,2,10,3,6
491,K,2,1,3,2,2,5,7,4,7,7,6,11,3,8,4,9
18020,K,5,9,7,7,5,6,7,5,8,6,5,10,3,8,5,9
17522,A,5,11,4,6,3,10,2,3,1,9,4,11,3,4,4,8
6476,V,7,11,7,8,4,2,11,4,4,11,12,8,3,10,1,8
655,P,3,7,3,5,2,4,12,8,2,10,6,4,1,10,3,8
16909,Y,5,9,5,6,2,3,11,3,6,12,11,5,1,11,2,5
9753,E,2,3,2,2,2,7,7,5,7,7,6,9,2,8,5,10
14581,Q,2,2,3,3,2,7,9,4,2,7,8,10,2,9,4,8
4568,P,5,10,8,8,5,8,9,5,5,12,4,3,2,10,4,8
17915,D,5,9,7,6,6,8,7,5,6,10,6,5,3,8,4,9
15058,I,5,10,6,8,4,6,6,2,7,7,6,10,0,9,4,8
1368,F,5,11,6,8,6,6,9,4,7,10,9,6,2,9,4,6
3404,Z,7,15,7,9,5,11,3,4,6,12,3,10,3,7,7,11
1022,M,3,3,5,2,3,9,6,3,4,9,5,7,6,5,1,8
7448,B,4,9,4,4,3,10,6,3,4,9,4,8,6,7,7,10
10765,P,4,10,6,7,4,8,9,2,6,13,6,5,1,10,3,9
17300,U,8,9,9,7,5,5,6,6,9,8,6,8,5,9,5,2
5195,R,5,10,6,8,6,5,8,6,6,6,5,9,4,8,6,10
12326,R,2,4,4,3,2,8,7,3,5,10,4,7,2,7,3,10
9367,Q,7,9,7,11,7,8,6,7,5,9,8,9,5,9,8,9
18322,O,6,10,7,8,7,7,8,9,4,7,7,8,3,7,3,7
15687,B,4,9,6,6,7,9,6,4,4,6,7,7,7,9,8,6
9337,C,2,4,3,6,1,5,7,7,9,8,6,14,1,9,4,9
19791,K,4,7,6,6,5,9,5,2,3,8,4,9,4,7,6,12
8879,V,3,9,5,7,1,7,8,4,2,7,14,8,3,9,0,8
12001,C,5,9,5,7,4,4,8,5,7,11,9,14,2,9,3,7
10415,N,4,7,7,5,6,7,8,3,4,8,7,8,7,10,5,4
17102,N,7,9,9,7,4,7,8,3,5,10,7,7,6,9,1,7
11538,V,3,3,4,2,1,3,12,4,3,11,11,7,2,11,1,8
17408,Y,1,0,2,1,0,7,9,1,2,6,12,8,1,10,0,8
249,B,5,9,7,7,6,7,9,5,6,10,6,6,3,8,7,8
18514,G,6,10,6,8,5,7,6,6,5,10,7,13,4,8,6,7
17846,Z,2,5,3,3,2,7,7,5,9,6,6,8,2,8,7,8
4031,C,3,3,4,2,1,4,8,4,7,10,9,12,1,9,2,7
3965,D,7,12,7,6,4,12,2,4,5,12,1,9,4,7,2,11
18951,L,3,11,5,8,4,3,5,2,8,3,1,9,0,7,1,6
1818,R,5,7,8,6,8,9,7,4,4,8,5,7,8,10,7,5
16231,W,9,12,9,6,5,2,10,3,3,10,11,9,7,10,1,6
968,I,1,3,2,2,0,7,7,1,7,13,6,9,0,8,1,8
17177,O,8,14,5,8,4,6,6,6,3,9,7,9,5,9,5,8
4693,V,5,9,5,6,3,2,11,4,4,11,12,8,2,10,1,7
14939,L,5,11,5,6,3,6,6,3,6,11,6,11,3,7,6,8
1360,P,4,10,6,7,6,7,6,7,4,7,6,8,3,8,7,10
10706,A,2,3,4,4,1,10,5,3,1,8,1,8,2,7,2,8
1393,K,1,0,1,0,0,4,6,5,1,7,6,10,2,7,1,10
15321,I,3,7,4,5,1,8,5,0,8,14,6,10,0,7,1,8
2972,N,4,3,4,5,2,7,7,14,2,5,6,8,6,8,0,8
19584,G,2,1,4,3,2,6,7,6,6,6,6,10,2,8,3,9
659,P,5,11,8,8,6,7,11,7,3,10,5,3,3,11,4,8
15599,F,3,6,5,4,2,6,10,2,6,13,7,5,1,10,2,7
3614,F,2,6,4,4,3,5,10,3,5,10,9,6,2,10,3,6
16732,I,3,7,4,5,2,8,6,0,7,13,6,9,0,7,2,8
18097,P,2,7,3,4,1,4,12,8,2,10,6,3,1,10,3,8
13023,J,5,11,4,8,3,8,8,2,4,12,4,5,2,9,7,8
19553,U,2,3,3,2,1,6,8,6,6,7,9,9,3,9,0,8
11557,K,5,8,7,6,4,5,8,2,7,10,9,10,3,8,3,7
11811,W,8,8,8,6,5,2,10,2,3,11,11,9,7,10,1,7
9666,Q,3,6,4,5,3,8,8,7,5,6,6,9,2,8,4,8
1201,O,3,4,4,6,2,7,6,9,6,6,5,6,3,8,4,8
19962,B,4,8,6,6,5,7,8,6,6,10,6,6,3,8,7,8
19585,Y,5,10,7,8,3,8,10,3,2,6,12,8,2,11,0,8
564,I,1,4,2,3,1,7,7,0,7,13,6,8,0,8,1,8
10846,H,3,6,5,4,4,7,8,3,6,10,5,8,3,8,3,9
1053,H,3,3,3,4,2,7,8,14,1,7,5,8,3,8,0,8
15064,I,2,8,3,6,2,6,8,0,6,13,7,7,0,8,1,7
10598,O,4,8,5,6,5,7,8,8,5,7,8,8,3,8,3,8
5353,M,4,5,5,7,4,8,7,12,2,6,9,8,8,6,0,8
11507,Q,6,7,6,9,6,8,7,6,3,9,8,10,3,8,6,8
17935,C,4,7,4,5,2,4,8,6,8,10,9,14,1,8,3,8
13733,X,5,10,8,8,7,8,6,3,6,7,4,6,6,7,9,6
7453,E,3,5,5,4,3,6,7,2,8,11,7,9,2,8,4,8
13625,H,3,8,4,6,3,8,7,13,1,7,6,8,3,8,0,8
8084,Y,3,5,4,8,6,9,10,3,3,6,8,9,3,12,6,6
8163,G,7,11,7,8,6,6,6,6,6,10,6,14,5,8,6,7
16730,H,5,8,7,6,7,7,7,6,6,7,6,8,3,8,3,7
12470,N,6,9,8,8,9,7,8,4,4,7,5,7,7,9,6,7
8781,I,1,2,1,3,1,7,7,1,7,7,6,9,0,8,3,8
13752,N,8,13,10,8,5,5,8,2,4,12,7,9,6,8,0,7
14293,D,8,13,8,7,4,11,3,5,5,13,2,11,5,7,4,9
15938,R,4,10,5,8,5,5,10,8,3,7,4,9,2,7,5,11
9321,W,5,7,7,5,3,8,8,5,1,7,8,8,8,9,0,8
10835,A,2,7,4,4,2,7,4,3,2,6,1,8,3,6,2,7
4469,Y,2,3,3,2,1,4,10,2,7,10,10,5,1,11,2,4
5023,H,5,9,8,7,7,5,9,3,6,10,9,9,3,9,4,6
11642,K,4,9,4,6,2,3,7,7,2,7,5,11,3,8,3,10
13907,I,3,6,4,4,2,6,9,0,6,13,7,7,0,8,1,7
12433,O,2,3,3,1,1,8,7,7,5,7,6,8,2,8,3,8
13295,A,2,0,3,1,0,8,4,2,0,7,2,8,2,6,1,8
19811,Q,4,6,4,7,4,7,11,4,3,6,10,11,3,10,6,8
15440,L,5,10,5,8,3,0,1,5,6,0,0,6,0,8,0,8
2116,P,1,0,2,0,0,5,11,6,1,9,6,5,1,9,3,8
8682,Z,4,7,5,5,5,7,6,2,7,7,6,9,1,7,10,8
15139,E,2,3,2,4,1,3,8,6,10,7,5,15,0,8,6,8
7778,G,4,7,5,5,4,6,6,6,5,9,7,12,3,8,4,9
10221,C,6,8,7,6,4,5,8,6,7,12,8,10,3,12,3,6
7011,R,3,7,5,5,3,9,7,4,6,10,4,7,3,7,4,10
6157,R,5,5,5,6,3,5,12,9,4,7,3,9,3,7,6,11
10323,R,7,13,7,7,6,5,9,3,5,7,4,9,6,7,6,6
12307,H,7,9,10,6,8,8,7,3,6,10,5,8,3,8,3,8
18743,L,2,2,3,3,1,4,4,4,7,2,1,6,0,7,1,6
7075,T,2,1,2,1,0,8,15,1,4,6,10,8,0,8,0,8
11331,O,2,1,3,2,2,7,7,7,5,7,5,8,2,8,3,8
19538,O,3,4,4,3,2,8,7,7,4,9,6,8,2,8,3,8
2536,B,3,6,5,4,6,8,6,5,4,7,7,8,7,9,7,8
15463,W,10,10,10,8,7,6,10,5,3,8,6,6,10,12,4,4
8982,U,3,7,5,6,5,8,7,3,3,6,6,8,4,8,2,8
14662,L,3,8,4,6,1,0,1,6,6,0,0,6,0,8,0,8
11791,O,4,10,5,7,4,7,6,8,5,7,5,8,3,8,3,8
14760,Y,4,8,6,6,6,9,4,7,4,7,9,7,3,9,8,4
6501,X,7,11,11,8,5,6,8,1,9,10,9,9,3,8,4,6
16469,K,6,8,9,6,5,7,5,2,8,10,4,10,5,5,5,9
12424,E,2,4,4,3,2,7,7,2,8,11,6,9,2,8,4,8
7102,S,2,2,3,3,2,7,7,6,5,8,6,8,2,9,9,8
14001,X,3,6,5,4,3,8,7,4,9,6,6,8,3,8,6,8
2906,G,4,9,6,7,7,7,9,6,3,6,6,10,4,8,7,7
8217,W,5,8,7,6,5,4,11,2,3,8,9,9,8,10,1,8
9000,U,4,6,6,4,4,7,8,8,6,6,6,10,3,8,5,6
16279,Y,3,7,6,5,2,9,10,2,7,3,12,8,2,11,2,9
14802,G,2,0,2,1,1,8,6,6,5,6,5,9,1,8,5,10
642,R,4,7,6,5,4,9,8,3,6,10,3,6,3,6,4,10
9179,I,4,10,5,8,2,7,9,0,8,14,6,6,0,10,2,7
12457,C,4,7,5,5,2,6,9,7,7,13,8,7,2,11,2,6
19360,B,4,8,6,6,6,8,7,4,5,7,6,7,4,8,6,9
19078,C,4,9,5,6,2,6,6,7,10,9,5,14,1,10,4,9
10195,T,3,10,4,7,1,7,14,0,6,7,11,8,0,8,0,8
7115,L,2,2,3,3,2,4,4,4,7,2,1,6,1,7,1,6
3203,V,7,11,7,8,4,2,12,2,3,9,11,8,2,10,1,7
15948,B,2,4,4,2,3,9,7,2,6,11,5,7,4,7,5,9
14843,B,2,3,3,1,2,8,7,2,5,10,5,7,1,8,4,9
11064,T,5,7,5,5,2,4,12,3,7,12,10,4,1,10,1,5
10014,I,3,11,3,8,4,7,7,0,8,7,6,8,0,8,3,8
5579,P,4,6,6,4,3,7,10,4,4,12,5,3,1,10,2,8
17822,I,2,6,4,4,3,11,6,1,5,9,4,5,1,8,5,9
8912,V,2,0,3,1,0,7,9,4,2,7,13,8,2,10,0,8
9682,X,4,11,5,8,2,7,7,4,4,7,6,8,3,8,4,8
10162,Q,5,7,6,8,6,9,8,6,2,4,8,10,3,9,7,10
3096,S,4,7,5,5,3,8,7,3,6,9,6,7,2,8,5,8
9839,M,4,5,4,7,4,7,7,12,2,7,9,8,8,5,0,8
14582,T,2,7,3,4,1,7,14,0,6,7,11,8,0,8,0,8
11601,Z,1,0,2,0,0,7,7,2,10,8,6,8,0,8,6,8
3555,X,7,10,10,7,5,5,9,2,9,11,12,9,3,9,4,5
441,J,3,10,4,7,1,13,2,9,4,14,4,12,1,6,0,8
19329,U,3,2,4,4,2,5,8,6,6,8,10,10,3,9,0,8
15834,V,3,9,5,7,2,8,8,4,3,6,14,8,3,10,0,8
2901,S,2,1,3,2,2,8,8,6,5,7,6,7,2,8,9,8
19952,T,2,9,4,7,2,7,13,0,5,7,10,8,0,8,0,8
14585,Y,3,5,4,3,2,4,10,1,7,10,10,6,1,11,3,4
5150,W,5,10,7,8,4,11,8,5,2,6,9,8,8,10,0,8
11765,W,4,7,6,5,3,6,8,5,1,7,8,8,8,9,0,8
2947,B,2,2,2,3,2,7,7,6,5,7,6,6,2,8,5,10
7781,D,4,7,5,5,4,7,8,8,4,8,6,4,3,8,3,7
6021,K,5,8,7,6,5,6,7,1,6,10,7,10,3,8,3,8
6820,K,6,8,9,6,4,5,7,3,7,10,9,11,3,8,3,7
9800,B,5,9,8,8,10,7,7,5,4,7,6,8,7,10,9,5
10251,Q,6,12,6,6,4,10,5,4,6,11,4,8,3,8,8,11
2549,T,2,6,3,4,1,7,13,0,5,7,10,8,0,8,0,8
2811,L,2,6,4,4,2,6,4,3,8,6,2,7,1,6,2,7
1600,E,3,7,4,5,3,4,9,2,8,10,8,10,2,8,4,5
11615,V,2,6,4,4,1,8,8,4,2,6,13,8,3,10,0,8
14068,P,5,11,7,8,6,8,9,5,4,12,5,4,2,10,3,8
12918,Q,2,3,3,4,3,8,8,5,2,5,8,10,2,9,5,9
10698,C,1,1,2,1,0,6,7,6,9,7,6,14,0,8,4,10
13035,H,2,2,3,3,3,6,7,5,6,7,6,8,3,8,3,8
16047,G,4,10,5,8,3,7,5,8,9,8,4,13,1,9,5,10
14092,E,7,11,10,8,8,7,7,2,8,11,7,9,3,8,5,8
1251,E,6,9,8,7,7,8,6,6,2,7,6,9,4,8,8,10
17133,D,5,9,8,6,6,9,8,4,6,11,5,5,4,7,4,9
5955,M,10,14,11,8,5,13,1,5,3,13,1,9,6,3,1,9
14656,S,4,6,5,4,5,9,7,4,3,9,5,8,4,8,10,10
338,K,6,11,8,8,5,9,5,1,7,10,3,9,5,9,5,11
1833,N,4,8,6,6,3,5,9,3,4,10,9,9,5,8,1,7
2631,U,7,15,7,8,5,8,5,5,5,6,6,7,5,7,3,6
19741,C,4,8,6,6,4,5,7,6,8,6,6,13,1,7,4,9
7920,V,4,8,6,6,1,7,8,4,3,7,14,8,3,9,0,8
4001,D,6,11,9,8,8,8,8,5,6,10,6,5,4,8,4,9
6264,J,2,10,3,8,1,13,2,9,4,14,4,12,1,6,0,8
12953,E,6,9,8,7,7,8,8,6,3,6,6,10,4,8,8,9
18516,N,3,4,4,6,2,7,7,14,2,5,6,8,6,8,0,8
